Customer Name,Order Date,Quantity,Sales
Alex Avila,2016-03-31,14,4406.072
Anna Häberlin,2016-05-31,30,4405.14
Maria Etezadi,2014-01-31,24,4374.88
Pete Kriz,2017-08-31,13,4337.639999999999
Joseph Holt,2015-01-31,13,4297.644
Darrin Martin,2014-09-30,35,4283.792
Greg Maxwell,2014-04-30,22,4251.92
Tamara Willingham,2015-12-31,27,4210.650000000001
Natalie Fritzler,2015-12-31,17,4190.206
Alan Dominguez,2017-01-31,13,4189.38
Karen Ferguson,2016-03-31,13,4173.812
Jim Kriz,2017-07-31,13,4150.972
Maribeth Schnelling,2016-11-30,28,4114.95
Shirley Daniels,2015-04-30,4,3999.7019999999998
Laura Armstrong,2016-05-31,11,3963.57
Keith Herrera,2017-12-31,46,3955.507
Sarah Brown,2015-05-31,22,3862.0980000000004
Yana Sorensen,2017-08-31,19,3859.488
Resi Pölking,2014-12-31,23,3831.6040000000003
Ted Trevino,2017-11-30,30,3813.166
Luke Weiss,2014-09-30,6,3785.292
Kristen Hastings,2014-03-31,22,3769.56
Katrina Willman,2015-08-31,14,3747.9300000000003
Dianna Wilson,2014-06-30,24,3745.6299999999997
Tracy Blumstein,2015-09-30,44,3742.098
Caroline Jumper,2017-05-31,11,3740.51
Brosina Hoffman,2014-06-30,38,3714.304
Giulietta Baptist,2015-09-30,37,3631.96
Ross Baird,2017-11-30,34,3629.9360000000006
Susan Pistek,2016-11-30,26,3588.096
Rick Wilson,2017-08-31,33,3545.752
Maria Etezadi,2016-06-30,14,3528.488
Mitch Webber,2014-09-30,25,3519.37
Steven Roelle,2017-06-30,8,3505.84
Bill Eplett,2017-09-30,13,3480.96
Dean percer,2017-10-31,41,3464.882
Christine Phan,2014-03-31,25,3455.13
Rick Hansen,2015-07-31,17,3419.872
Ellis Ballard,2015-03-31,8,3393.68
Naresj Patel,2015-08-31,35,3385.614
Natalie Webber,2015-05-31,18,3384.518
Rick Huthwaite,2016-03-31,6,3384.45
Penelope Sewall,2017-05-31,6,3359.952
Kelly Collister,2016-09-30,14,3354.98
Scot Coram,2016-08-31,32,3339.1220000000003
Mitch Willingham,2014-05-31,10,3333.8999999999996
Peter McVee,2015-12-31,18,3332.974
Thomas Boland,2017-11-30,19,3291.0699999999997
Gary Hwang,2014-06-30,11,3290.516
Clay Ludtke,2015-12-31,18,3251.34
Sample Company A,2014-03-31,13,3247.1580000000004
Mark Cousins,2016-11-30,23,3236.41
Brian Moss,2017-11-30,28,3206.274
Deborah Brumfield,2016-12-31,21,3185.69
Lena Creighton,2015-06-30,5,3184.356
Jim Epp,2015-06-30,25,3165.744
Christopher Conant,2016-07-31,10,3136.868
Yoseph Carroll,2014-11-30,15,3116.49
Jim Epp,2017-03-31,10,3098.6099999999997
Tonja Turnell,2017-11-30,14,3083.94
Bart Watters,2017-01-31,2,3059.982
Bradley Drucker,2017-01-31,11,3002.6499999999996
Dan Reichenbach,2017-08-31,26,2971.7920000000004
Robert Marley,2017-12-31,9,2970.4320000000002
John Lee,2017-07-31,42,2967.38
Thomas Seio,2017-06-30,31,2942.784
Stefania Perrino,2017-09-30,29,2935.221
Alejandro Savely,2016-11-30,11,2912.808
Erica Smith,2017-09-30,17,2911.7839999999997
Sung Pak,2016-11-30,16,2904.572
Doug Jacobs,2017-12-31,30,2888.518
Penelope Sewall,2014-12-31,14,2884.37
Katherine Murray,2014-12-31,19,2846.22
Adam Bellavance,2017-11-30,26,2835.538
Theone Pippenger,2017-12-31,26,2834.98
Ionia McGrath,2016-09-30,8,2824.23
Sean Christensen,2015-01-31,5,2803.92
Todd Sumrall,2015-08-31,5,2799.96
Denise Monton,2017-04-30,9,2747.25
Heather Kirkland,2017-03-31,24,2737.672
Sue Ann Reed,2014-10-31,6,2735.952
Joel Eaton,2015-10-31,8,2717.31
John Lee,2014-09-30,9,2692.329
Sarah Foster,2017-11-30,14,2690.74
Philisse Overcash,2015-11-30,17,2688.37
Lindsay Castell,2015-12-31,9,2676.672
Randy Ferguson,2016-11-30,18,2673.6899999999996
Greg Tran,2015-04-30,14,2670.19
Justin Ellison,2016-12-31,27,2657.81
Luke Foster,2014-07-31,31,2656.716
Annie Thurman,2015-11-30,11,2643.06
Karen Ferguson,2017-04-30,9,2633.5099999999998
Emily Ducich,2015-11-30,11,2621.322
Anna Gayman,2016-09-30,13,2620.9376
Sharelle Roach,2017-04-30,22,2613.309
Valerie Dominguez,2015-11-30,25,2607.196
Anthony Jacobs,2014-12-31,15,2583.19
George Ashbrook,2015-04-30,17,2572.5
Bill Donatelli,2015-05-31,8,2567.84
Jeremy Lonsdale,2017-08-31,22,2563.314
Sandra Glassco,2015-10-31,26,2562.171
Stewart Carmichael,2016-03-31,31,2550.587
Rick Huthwaite,2016-09-30,19,2545.12
Pierre Wener,2015-02-28,2,2541.98
Dana Kaydos,2015-03-31,22,2531.88
Paul Prost,2014-09-30,15,2531.264
Justin Deggeller,2017-11-30,10,2521.4799999999996
Ken Heidel,2015-09-30,21,2503.82
Meg Tillman,2016-07-31,14,2503.47
Kean Thornton,2014-05-31,8,2500.026
Juliana Krohn,2017-12-31,4,2479.96
Neil Ducich,2017-06-30,15,2432.94
Maribeth Schnelling,2015-12-31,26,2427.792
Harold Ryan,2017-07-31,5,2399.96
Linda Cazamias,2016-05-31,10,2396.4
Dan Campbell,2017-08-31,28,2382.9260000000004
Frank Carlisle,2016-10-31,10,2377.56
Alejandro Grove,2016-09-30,46,2374.73
Shahid Collister,2017-05-31,23,2361.52
Suzanne McNair,2014-09-30,27,2358.672
Jonathan Doherty,2016-10-31,28,2349.09
Helen Wasserman,2017-08-31,11,2340.06
Dean percer,2015-11-30,5,2339.84
Linda Southworth,2016-07-31,14,2331.84
Rick Reed,2014-09-30,16,2304.37
Lauren Leatherbury,2015-04-30,19,2298.8999999999996
Corinna Mitchell,2016-11-30,7,2294.9
Clay Ludtke,2016-05-31,34,2268.024
Nora Paige,2017-10-31,15,2258.28
Ann Chong,2017-09-30,40,2255.868
Robert Marley,2015-10-31,15,2245.13
Karen Ferguson,2017-09-30,27,2237.5719999999997
Mike Pelletier,2015-11-30,25,2233.02
Brian Moss,2017-05-31,13,2229.1800000000003
Alan Schoenberger,2014-10-31,14,2216.8
John Murray,2015-08-31,16,2200.328
Sanjit Jacobs,2017-09-30,23,2169.038
Shahid Collister,2017-11-30,10,2165.658
Mary Zewe,2014-11-30,10,2158.694
Charles Crestani,2015-01-31,10,2147.3360000000002
Jonathan Doherty,2016-12-31,12,2145.25
Valerie Dominguez,2014-08-31,27,2126.034
Anne McFarland,2014-10-31,20,2116.5060000000003
Liz Preis,2017-01-31,11,2113.567
Bradley Talbott,2017-02-28,23,2110.72
Tonja Turnell,2015-12-31,17,2079.112
Paul Prost,2016-02-29,41,2075.51
Gary Zandusky,2016-03-31,13,2073.35
Emily Phan,2016-11-30,28,2067.8848
David Flashing,2016-01-31,10,2067.7960000000003
Beth Thompson,2014-04-30,13,2061.01
Joseph Holt,2014-08-31,7,2060.744
Deirdre Greer,2017-11-30,13,2059.85
Jane Waco,2016-09-30,20,2056.0060000000003
Lena Radford,2014-08-31,18,2049.816
Rick Wilson,2017-05-31,10,2049.534
Eleni McCrary,2015-07-31,9,2048.8559999999998
Jack Garza,2014-09-30,5,2046.354
Christopher Martinez,2017-01-31,11,2031.3919999999998
Thea Hudgings,2016-04-30,12,2027.188
Russell Applegate,2014-11-30,7,2027.144
Jamie Kunitz,2015-09-30,17,2026.7800000000002
Brenda Bowman,2017-08-31,13,2017.3200000000002
George Zrebassa,2017-07-31,8,2012.3020000000001
Fred Chung,2017-02-28,10,2011.9
Charles McCrossin,2016-12-31,6,2003.52
Hunter Glantz,2014-10-31,9,2003.1200000000001
Carol Adams,2016-12-31,4,1999.96
Jamie Kunitz,2017-10-31,30,1993.772
Anthony Rawles,2017-07-31,19,1990.756
Michael Paige,2016-12-31,13,1990.2060000000001
Justin Deggeller,2017-03-31,11,1986.52
Ken Lonsdale,2016-05-31,9,1979.928
Irene Maddox,2014-12-31,21,1979.8899999999999
Anna Andreadi,2015-11-30,12,1971.46
Scott Cohen,2015-08-31,16,1966.5569999999998
Robert Waldorf,2017-01-31,9,1958.544
Natalie DeCherney,2015-07-31,13,1952.808
James Galang,2015-12-31,8,1941.81
William Brown,2016-12-31,43,1937.924
Mitch Willingham,2017-11-30,3,1919.976
Natalie Webber,2015-09-30,12,1918.79
Bill Stewart,2017-12-31,36,1915.6239999999998
Gary McGarr,2014-12-31,9,1897.92
Victoria Pisteka,2017-10-31,9,1893.786
Kunst Miller,2014-07-31,17,1891.316
Henry Goldwyn,2017-12-31,5,1889.99
Brenda Bowman,2016-11-30,24,1889.87
Dionis Lloyd,2017-08-31,7,1885.5120000000002
Toby Carlisle,2014-10-31,19,1885.27
Craig Carroll,2015-09-30,17,1884.144
Kelly Lampkin,2017-11-30,8,1883.7240000000002
Caroline Jumper,2017-03-31,11,1875.128
Brian Stugart,2015-11-30,30,1873.606
Clay Rozendal,2017-11-30,17,1872.934
Hunter Lopez,2014-01-31,27,1859.4
Joe Elijah,2016-09-30,31,1854.241
Amy Hunt,2015-01-31,25,1846.8136
Michael Nguyen,2017-11-30,17,1844.218
Ben Ferrer,2017-12-31,14,1843.402
Kean Nguyen,2014-04-30,28,1840.0430000000001
John Lee,2017-12-31,21,1827.51
Jeremy Pistek,2017-12-31,17,1824.1840000000002
Clay Ludtke,2017-03-31,8,1823.336
Jennifer Ferguson,2017-09-30,26,1820.208
Victoria Wilson,2015-01-31,21,1816.6960000000001
Katherine Hughes,2017-12-31,14,1814.6799999999998
Corey Catlett,2014-08-31,12,1812.0100000000002
Rose O'Brian,2015-12-31,17,1808.958
Shahid Hopkins,2014-11-30,22,1804.9769999999999
Lena Radford,2016-09-30,27,1804.2479999999998
John Dryer,2015-10-31,6,1801.632
Nora Preis,2016-08-31,8,1800.168
Michelle Arnett,2016-11-30,16,1799.466
Amy Cox,2017-10-31,2,1793.98
Dennis Kane,2016-07-31,41,1793.8
Speros Goranitis,2015-12-31,21,1782.17
Alan Schoenberger,2017-09-30,21,1782.104
Marc Crier,2014-09-30,21,1771.52
Roger Barcio,2017-09-30,14,1770.1899999999998
Greg Matthias,2014-05-31,14,1769.784
Neoma Murray,2016-12-31,14,1767.403
Tamara Manning,2015-05-31,14,1745.71
Rob Lucas,2015-07-31,28,1745.399
Rick Duston,2014-06-30,8,1745.3600000000001
David Bremer,2015-12-31,30,1745.132
Christopher Schild,2017-04-30,13,1735.8505
Zuschuss Carroll,2015-09-30,17,1734.288
William Brown,2014-11-30,21,1729.416
Nathan Cano,2017-11-30,14,1729.286
John Stevenson,2015-12-31,14,1717.9699999999998
Corinna Mitchell,2017-10-31,11,1704.89
Frank Merwin,2017-11-30,45,1702.73
Maria Etezadi,2016-03-31,17,1702.38
Sara Luxemburg,2017-10-31,9,1702.0300000000002
Lindsay Williams,2016-05-31,8,1691.6080000000002
Paul Van Hugh,2017-10-31,12,1687.2600000000002
Justin Deggeller,2015-03-31,9,1685.4560000000001
Arianne Irving,2014-04-30,5,1679.96
Brian Dahlen,2014-01-31,13,1679.749
Michael Moore,2016-09-30,5,1678.0
Michael Chen,2017-12-31,7,1675.6299999999999
Claudia Bergmann,2016-01-31,21,1672.31
Jack O'Briant,2016-01-31,13,1671.93
Dave Poirier,2016-12-31,22,1671.08
Mark Packer,2015-10-31,26,1668.988
Amy Cox,2017-12-31,2,1665.62
Barry Gonzalez,2015-09-30,10,1664.1319999999998
Muhammed Yedwab,2014-11-30,8,1661.028
Bobby Elias,2016-10-31,5,1649.75
Dave Hallsten,2015-03-31,23,1646.41
Ivan Liston,2017-08-31,17,1645.87
Cynthia Arntzen,2014-06-30,23,1639.711
Karen Daniels,2014-11-30,27,1639.496
Valerie Takahito,2015-04-30,32,1636.356
Tracy Hopkins,2017-10-31,4,1633.188
Dean Katz,2016-03-31,17,1632.362
Eugene Barchas,2016-11-30,10,1628.6100000000001
Zuschuss Carroll,2016-04-30,17,1616.704
Gary Hansen,2017-06-30,13,1616.216
Joe Kamberova,2014-12-31,17,1614.124
Jill Fjeld,2016-09-30,9,1611.01
Lisa DeCherney,2014-09-30,18,1609.32
Bill Overfelt,2016-01-31,9,1604.73
Don Jones,2016-08-31,4,1603.136
Maxwell Schwartz,2016-08-31,29,1599.864
Zuschuss Carroll,2016-03-31,19,1599.029
Art Ferguson,2016-05-31,28,1591.47
Tanja Norvell,2016-04-30,20,1588.323
Robert Dilbeck,2017-09-30,3,1577.94
Alan Hwang,2017-09-30,3,1577.94
Pamela Coakley,2014-12-31,7,1573.488
Edward Nazzal,2016-06-30,11,1562.694
Carlos Daly,2017-11-30,15,1559.6680000000001
Ivan Liston,2015-02-28,15,1558.4199999999998
Olvera Toch,2016-07-31,14,1556.694
John Lucas,2015-03-31,9,1555.244
Zuschuss Carroll,2014-10-31,15,1549.77
Sylvia Foulston,2015-11-30,20,1542.47
Michelle Huthwaite,2017-10-31,11,1541.51
Thea Hendricks,2014-11-30,11,1537.5439999999999
Clay Ludtke,2014-09-30,15,1530.008
Edward Becker,2015-06-30,9,1522.638
Arthur Gainer,2014-07-31,24,1520.376
Patrick Ryan,2017-08-31,32,1520.15
Linda Cazamias,2016-08-31,16,1519.82
Jeremy Pistek,2014-11-30,27,1517.574
Eva Jacobs,2016-12-31,14,1517.049
Maureen Gastineau,2017-06-30,4,1515.186
Natalie Fritzler,2014-02-28,11,1508.13
Frank Merwin,2016-12-31,7,1507.938
Edward Hooks,2016-12-31,16,1506.02
Eugene Moren,2016-07-31,5,1499.95
Pete Kriz,2017-09-30,14,1491.616
Phillip Flathmann,2016-11-30,18,1489.7240000000002
Craig Molinari,2014-10-31,19,1488.774
Allen Rosenblatt,2017-08-31,7,1488.424
Sarah Brown,2015-04-30,7,1483.528
Maribeth Dona,2014-11-30,17,1476.8339999999998
Aaron Smayling,2017-08-31,10,1476.27
Stefania Perrino,2016-12-31,15,1475.584
Ann Blume,2017-11-30,28,1475.054
Arianne Irving,2016-11-30,33,1467.1339999999998
Tracy Poddar,2016-11-30,23,1465.032
Ben Ferrer,2014-12-31,17,1461.172
Claudia Bergmann,2015-05-31,19,1461.1394999999998
Karen Bern,2017-07-31,10,1455.55
Denny Joy,2016-04-30,5,1454.9
Russell Applegate,2015-07-31,16,1454.838
Christine Kargatis,2017-02-28,18,1448.853
Fred Hopkins,2015-11-30,10,1448.82
Jay Fein,2015-10-31,26,1446.784
Erin Smith,2017-02-28,10,1443.72
Frank Olsen,2014-06-30,7,1441.3
Christy Brittain,2016-07-31,4,1439.976
Dave Hallsten,2017-03-31,26,1435.96
Pauline Webber,2017-06-30,11,1433.19
Mike Caudle,2016-12-31,15,1431.078
Rob Lucas,2016-09-30,10,1427.308
Mark Hamilton,2016-12-31,5,1424.9
Deanra Eno,2015-09-30,14,1423.34
Paul Knutson,2016-09-30,8,1422.252
Anthony Jacobs,2014-10-31,8,1421.664
Pauline Johnson,2017-05-31,9,1418.21
Nick Crebassa,2014-08-31,16,1417.35
Mick Hernandez,2016-08-31,18,1416.304
Alan Haines,2016-12-31,14,1410.066
Dorothy Badders,2017-05-31,22,1407.2048
Sylvia Foulston,2016-10-31,5,1403.92
Stefanie Holloman,2014-12-31,5,1403.92
Chris McAfee,2016-08-31,7,1399.944
Ben Ferrer,2016-01-31,9,1396.35
Mike Pelletier,2014-11-30,7,1393.872
Olvera Toch,2016-06-30,11,1388.7800000000002
Daniel Raglin,2015-09-30,14,1388.46
Frank Preis,2016-04-30,15,1384.924
Noel Staavos,2016-12-31,38,1384.6100000000001
Richard Bierner,2014-11-30,19,1384.494
Brenda Bowman,2017-12-31,15,1378.948
Anna Andreadi,2016-07-31,16,1376.445
Neola Schneider,2017-01-31,11,1370.5349999999999
Frank Hawley,2017-11-30,6,1369.5320000000002
Laura Armstrong,2014-07-31,25,1368.6200000000001
Tom Stivers,2014-07-31,8,1367.84
John Stevenson,2016-02-29,10,1366.04
Anthony Johnson,2014-12-31,36,1365.6299999999999
Frank Atkinson,2017-09-30,6,1365.48
Kean Takahito,2014-09-30,18,1364.892
Joe Kamberova,2016-05-31,5,1363.96
Shahid Shariari,2015-11-30,13,1363.674
Steve Chapman,2016-09-30,29,1361.79
Christine Phan,2015-11-30,14,1361.6309999999999
Stephanie Ulpright,2017-03-31,18,1358.866
Edward Hooks,2017-08-31,7,1358.484
Fred Chung,2016-03-31,6,1356.576
Sam Craven,2014-06-30,24,1353.5296
Sam Zeldin,2015-12-31,15,1349.63
Ivan Liston,2015-12-31,9,1347.27
Corinna Mitchell,2015-11-30,13,1345.418
Rob Lucas,2017-07-31,16,1344.838
Craig Leslie,2016-04-30,11,1344.4199999999998
Katherine Murray,2014-07-31,10,1340.9759999999999
Harold Ryan,2015-12-31,13,1340.033
Ken Dana,2015-09-30,23,1336.352
Rick Bensley,2016-05-31,16,1335.352
Sanjit Engle,2017-03-31,2,1332.496
Karen Bern,2017-09-30,13,1331.82
Brian Stugart,2016-05-31,14,1328.128
Lindsay Shagiari,2017-11-30,27,1328.1000000000001
Dave Brooks,2014-06-30,9,1326.69
Mike Gockenbach,2017-10-31,26,1324.574
Trudy Schmidt,2017-01-31,12,1322.75
Greg Maxwell,2017-09-30,3,1322.352
Philisse Overcash,2016-06-30,10,1321.467
Karen Carlisle,2016-11-30,4,1319.96
David Smith,2015-08-31,14,1314.008
Julia Barnett,2016-05-31,15,1311.97
Harold Pawlan,2017-11-30,8,1311.372
Ken Lonsdale,2016-07-31,12,1311.03
Matthew Grinstein,2014-08-31,6,1310.3359999999998
Chad Cunningham,2014-12-31,13,1308.196
Steven Cartwright,2015-09-30,24,1306.47
Rob Haberlin,2015-07-31,18,1305.81
Philip Fox,2016-06-30,10,1302.83
Daniel Lacy,2014-09-30,2,1299.99
Maris LaWare,2017-07-31,16,1298.896
Dean Katz,2017-06-30,2,1295.78
Anthony Johnson,2017-07-31,17,1295.0249999999999
Valerie Mitchum,2016-04-30,5,1294.75
Ed Braxton,2016-06-30,7,1293.488
Jim Karlsson,2015-12-31,4,1293.4679999999998
Michelle Huthwaite,2015-07-31,11,1288.848
Gene Hale,2016-12-31,12,1288.4640000000002
Toby Braunhardt,2016-03-31,5,1287.45
Chris Selesnick,2014-01-31,20,1287.26
Theone Pippenger,2016-12-31,11,1284.8000000000002
Georgia Rosenberg,2014-11-30,23,1284.38
Craig Molinari,2015-03-31,8,1283.3264
Eugene Moren,2016-05-31,33,1282.6100000000001
Brendan Sweed,2014-12-31,12,1280.992
Kristina Nunn,2017-08-31,16,1278.158
Matt Collister,2014-11-30,17,1273.6229999999998
Nat Carroll,2015-04-30,9,1273.606
Kunst Miller,2017-12-31,14,1271.17
Julia West,2015-03-31,21,1270.3790000000001
Patrick O'Brill,2016-08-31,25,1269.8700000000001
Anne McFarland,2016-09-30,7,1264.14
Roland Schwarz,2014-12-31,7,1261.33
Zuschuss Carroll,2015-04-30,12,1259.874
Jason Gross,2017-12-31,13,1256.844
Todd Sumrall,2014-10-31,17,1252.602
Victoria Wilson,2017-11-30,3,1247.64
Nicole Hansen,2017-02-28,7,1245.86
Nicole Fjeld,2015-03-31,12,1242.896
Chloris Kastensmidt,2017-11-30,14,1242.6319999999998
Rose O'Brian,2017-11-30,19,1240.418
Troy Staebel,2017-06-30,12,1240.356
Mick Hernandez,2017-01-31,18,1239.833
Ralph Kennedy,2015-07-31,25,1238.33
John Lee,2015-12-31,21,1233.61
Ralph Arnett,2015-12-31,11,1230.5
Steve Nguyen,2015-12-31,19,1228.9532
Rob Dowd,2014-04-30,15,1220.67
Amy Cox,2016-11-30,5,1219.96
Ed Jacobs,2017-03-31,11,1219.7920000000001
Shaun Weien,2015-06-30,2,1217.568
Ricardo Sperren,2014-08-31,10,1217.3799999999999
Ruben Ausman,2014-04-30,8,1215.92
Laurel Beltran,2016-12-31,9,1215.72
Kristen Hastings,2015-10-31,31,1215.269
James Galang,2014-06-30,3,1214.85
Lena Creighton,2014-05-31,13,1213.494
Victoria Wilson,2014-05-31,8,1212.96
Christina DeMoss,2017-11-30,39,1205.584
Pauline Webber,2016-10-31,9,1203.89
Ben Peterman,2015-08-31,6,1203.441
Yoseph Carroll,2016-04-30,3,1199.976
Eileen Kiefer,2014-03-31,10,1198.33
Rick Duston,2017-05-31,16,1196.316
Sam Craven,2014-11-30,17,1194.8700000000001
Christina VanderZanden,2014-03-31,7,1190.84
Seth Vernon,2014-04-30,12,1190.53
Keith Dawkins,2015-12-31,19,1188.53
Shaun Chance,2015-09-30,11,1180.686
Darren Budd,2016-12-31,5,1179.822
Michael Kennedy,2016-10-31,17,1179.27
Logan Currie,2017-09-30,17,1175.1019999999999
Michelle Ellison,2014-07-31,8,1173.616
Matthew Grinstein,2017-10-31,12,1171.792
Matt Abelman,2015-11-30,24,1170.9180000000001
Dianna Vittorini,2015-11-30,18,1170.72
Matt Hagelstein,2017-07-31,9,1170.5639999999999
Adam Hart,2017-10-31,22,1169.98
Mick Hernandez,2017-09-30,3,1169.694
Greg Tran,2016-12-31,27,1169.454
Tracy Zic,2014-11-30,8,1167.296
Tamara Dahlen,2016-01-31,9,1167.056
Sara Luxemburg,2015-03-31,5,1166.92
Emily Grady,2016-12-31,18,1165.328
Rob Williams,2016-12-31,15,1164.3319999999999
Anthony Johnson,2016-09-30,15,1159.06
Nancy Lomonaco,2017-11-30,31,1158.882
Grant Thornton,2014-06-30,14,1158.448
Brenda Bowman,2017-11-30,5,1158.12
Andrew Allen,2016-08-31,15,1157.98
Monica Federle,2017-12-31,16,1152.8700000000001
Justin Deggeller,2016-09-30,7,1148.806
Craig Molinari,2014-03-31,18,1143.8220000000001
Fred Harton,2015-08-31,30,1142.43
Trudy Glocke,2014-03-31,14,1142.165
Christine Kargatis,2014-03-31,4,1139.92
Todd Sumrall,2015-07-31,13,1136.896
Naresj Patel,2014-07-31,20,1136.092
Theresa Swint,2015-04-30,33,1135.5140000000001
Brian Thompson,2015-07-31,41,1133.8200000000002
Tracy Hopkins,2015-09-30,5,1132.8400000000001
Ben Peterman,2017-08-31,17,1132.56
Cathy Hwang,2016-02-29,3,1127.976
Bill Tyler,2015-11-30,13,1126.8300000000002
Bill Stewart,2017-11-30,11,1126.2939999999999
Trudy Brown,2017-11-30,12,1123.116
Natalie Webber,2014-11-30,12,1122.968
Bill Donatelli,2016-04-30,2,1121.568
Victoria Wilson,2016-10-31,8,1121.156
Liz Willingham,2016-11-30,10,1120.73
Frank Preis,2014-12-31,10,1119.288
Stewart Visinsky,2016-05-31,23,1119.1480000000001
Hunter Glantz,2015-05-31,4,1117.92
Arthur Wiediger,2016-11-30,4,1117.92
Anthony Rawles,2016-06-30,7,1115.17
Gary Zandusky,2015-11-30,7,1114.192
Nick Radford,2017-06-30,25,1111.698
Clay Ludtke,2016-09-30,5,1111.4180000000001
Joy Smith,2016-07-31,24,1110.5
Becky Pak,2015-06-30,5,1109.95
Matt Abelman,2014-08-31,15,1109.725
Joe Kamberova,2014-11-30,20,1109.372
Elizabeth Moffitt,2017-07-31,22,1107.68
Adrian Barton,2014-12-31,4,1107.66
Elpida Rittenbach,2016-11-30,14,1106.924
Anna Andreadi,2014-06-30,11,1106.77
Dave Kipp,2017-11-30,13,1105.692
Stuart Van,2015-09-30,14,1102.472
William Brown,2017-06-30,13,1100.62
Irene Maddox,2015-07-31,4,1099.96
Giulietta Dortch,2017-06-30,10,1099.5
Suzanne McNair,2015-03-31,10,1098.53
Alyssa Tate,2017-12-31,12,1096.4879999999998
Brosina Hoffman,2016-03-31,15,1094.25
Jennifer Patt,2016-08-31,16,1091.4399999999998
Carol Triggs,2014-05-31,12,1091.35
Jack Lebron,2017-12-31,23,1090.348
Arthur Gainer,2016-12-31,10,1085.87
Thomas Seio,2016-08-31,4,1085.688
Adam Shillingsburg,2015-11-30,16,1085.16
Don Miller,2015-09-30,8,1082.15
Carl Ludwig,2017-09-30,13,1081.69
Greg Tran,2017-05-31,16,1078.4379999999999
Gary Mitchum,2017-08-31,19,1077.47
Thomas Seio,2014-11-30,12,1075.3700000000001
Nathan Mautz,2015-05-31,19,1075.03
Matt Abelman,2015-12-31,23,1074.854
Christina VanderZanden,2017-03-31,23,1069.132
Rick Wilson,2015-09-30,34,1067.035
Ricardo Sperren,2017-07-31,8,1065.8400000000001
Ruben Ausman,2017-09-30,21,1065.2160000000001
Darrin Van Huff,2017-12-31,19,1062.363
Dana Kaydos,2017-08-31,28,1062.352
Frank Preis,2015-04-30,9,1061.328
Dan Lawera,2016-09-30,25,1059.088
Cynthia Delaney,2016-10-31,23,1058.27
Stewart Visinsky,2015-05-31,25,1058.1879999999999
Jenna Caffey,2017-07-31,14,1058.108
Paul MacIntyre,2016-12-31,7,1056.86
Chris Cortes,2016-03-31,14,1056.306
Joseph Holt,2015-12-31,16,1055.1419999999998
Toby Gnade,2016-11-30,8,1054.928
Katherine Hughes,2016-07-31,8,1053.5720000000001
Cari Sayre,2017-02-28,7,1051.912
David Philippe,2014-12-31,17,1050.6
Maribeth Dona,2014-12-31,14,1049.97
Filia McAdams,2017-04-30,5,1048.35
Keith Herrera,2015-06-30,12,1046.47
Janet Molinari,2016-12-31,12,1045.21
Sheri Gordon,2017-06-30,5,1044.63
Emily Burns,2015-09-30,3,1044.63
Ken Heidel,2014-11-30,29,1044.44
Susan MacKendrick,2016-05-31,20,1043.041
Pete Kriz,2016-12-31,22,1042.97
Tom Boeckenhauer,2014-09-30,17,1040.19
Jas O'Carroll,2015-11-30,5,1038.84
Theresa Coyne,2017-09-30,17,1038.26
Sanjit Chand,2014-11-30,11,1037.19
